,Total,,,,,,,,,,,,,,,,,,,De 16 a 19 años,,,,,,,,,,,,,,,,,,,De 20 a 24 años,,,,,,,,,,,,,,,,,,,De 25 a 54 años,,,,,,,,,,,,,,,,,,,De 55 y más años,,,,,,,,,,,,,,,,,,,
,2009TIII,2009TII,2009TI,2008TIV,2008TIII,2008TII,2008TI,2007TIV,2007TIII,2007TII,2007TI,2006TIV,2006TIII,2006TII,2006TI,2005TIV,2005TIII,2005TII,2005TI,2009TIII,2009TII,2009TI,2008TIV,2008TIII,2008TII,2008TI,2007TIV,2007TIII,2007TII,2007TI,2006TIV,2006TIII,2006TII,2006TI,2005TIV,2005TIII,2005TII,2005TI,2009TIII,2009TII,2009TI,2008TIV,2008TIII,2008TII,2008TI,2007TIV,2007TIII,2007TII,2007TI,2006TIV,2006TIII,2006TII,2006TI,2005TIV,2005TIII,2005TII,2005TI,2009TIII,2009TII,2009TI,2008TIV,2008TIII,2008TII,2008TI,2007TIV,2007TIII,2007TII,2007TI,2006TIV,2006TIII,2006TII,2006TI,2005TIV,2005TIII,2005TII,2005TI,2009TIII,2009TII,2009TI,2008TIV,2008TIII,2008TII,2008TI,2007TIV,2007TIII,2007TII,2007TI,2006TIV,2006TIII,2006TII,2006TI,2005TIV,2005TIII,2005TII,2005TI,
01 Alava,"156.3","155.3","161.3","161.9","160.3","155.9","153.6","158.0","156.3","160.2","159.9","157.7","160.7","158.6","156.1","152.6","145.1","150.0","151.9","0.7","2.4","1.5","1.5","3.4","2.2","2.3","1.9","1.9","1.4","1.5","1.4","3.1","1.5","2.5","0.7","1.8","2.3","1.6","10.1","10.1","13.7","13.1","14.1","11.6","11.2","10.8","8.5","9.3","8.8","8.9","10.7","10.4","14.9","12.5","14.0","11.9","11.3","125.7","123.6","125.8","126.0","122.3","122.5","120.3","126.8","128.9","133.7","134.0","133.3","129.0","128.7","122.0","122.6","113.0","119.1","122.8","19.9","19.2","20.3","21.4","20.6","19.7","19.7","18.6","17.0","15.8","15.5","14.1","17.9","18.0","16.8","16.7","16.3","16.6","16.2",
02 Albacete,"195.3","192.0","200.5","195.0","196.2","189.6","187.4","193.8","192.1","185.8","187.0","174.3","174.8","173.4","173.2","179.2","175.3","172.6","173.3","4.6","5.2","4.8","5.3","6.2","5.2","4.1","5.9","7.5","6.8","8.4","6.8","8.0","5.5","4.5","6.4","4.7","3.6","5.1","19.1","16.7","20.2","18.3","17.7","14.8","17.1","18.9","15.8","16.3","17.1","16.4","18.1","17.6","19.8","19.8","18.1","15.2","10.8","153.8","151.3","156.6","149.7","151.6","150.0","147.1","148.1","149.5","143.8","142.9","131.6","130.5","131.6","130.6","133.6","133.0","135.0","141.1","17.8","18.8","18.9","21.6","20.6","19.6","19.1","20.9","19.3","18.8","18.6","19.4","18.2","18.7","18.3","19.4","19.6","18.8","16.3",
03 Alicante,"981.1","971.2","939.3","944.9","910.8","900.7","886.1","873.9","882.9","876.5","861.7","870.4","863.0","856.2","846.5","812.4","818.0","812.1","811.8","28.0","25.6","19.3","23.0","35.8","24.5","25.2","27.6","30.5","33.0","28.0","26.9","31.8","25.5","24.9","20.8","26.8","22.8","16.9","87.7","88.7","79.3","81.3","80.7","72.6","69.0","72.1","79.5","79.4","73.3","81.4","83.6","83.5","78.6","78.8","79.7","75.7","78.4","755.3","736.6","735.7","735.3","692.2","691.1","687.2","680.2","682.6","681.6","680.6","675.4","663.1","661.2","657.1","631.6","623.9","626.6","631.0","110.0","120.3","105.0","105.4","102.1","112.4","104.7","94.0","90.3","82.4","79.8","86.8","84.5","86.1","85.9","81.2","87.5","87.0","85.5",
04 Almería,"366.2","367.0","369.7","366.5","342.1","341.7","352.4","353.3","338.8","338.4","341.2","346.2","343.5","341.8","336.6","312.9","333.3","300.8","304.8","12.9","15.5","14.1","12.7","15.8","12.9","10.1","15.2","14.0","14.4","14.2","15.8","13.4","15.1","16.5","10.1","15.4","13.0","8.3","33.9","32.2","32.4","37.4","36.7","33.9","32.4","27.9","35.9","40.4","38.5","40.8","40.5","44.0","45.0","40.7","42.5","29.6","32.9","287.6","283.4","287.6","284.0","264.7","270.6","282.7","286.3","265.7","259.1","262.0","261.5","264.6","256.1","246.9","235.5","249.6","231.4","239.0","31.7","35.8","35.6","32.3","24.9","24.3","27.2","24.0","23.1","24.5","26.6","28.1","25.0","26.6","28.2","26.7","25.7","26.8","24.6",
33 Asturias,"484.9","487.2","487.1","491.8","501.1","494.1","485.7","476.3","476.2","471.5","469.9","465.6","470.5","468.5","463.7","457.0","451.8","448.4","448.4","4.5","5.7","5.5","4.8","8.0","7.7","5.4","3.8","5.7","4.0","5.6","3.9","5.0","6.0","4.7","4.2","5.8","4.4","3.8","34.1","32.3","34.2","32.0","35.6","33.9","34.3","35.3","34.4","32.0","36.0","35.2","38.0","35.8","38.2","35.8","37.5","37.1","40.1","385.1","383.6","383.1","386.5","391.6","391.3","389.0","382.9","377.1","378.3","370.4","372.3","371.4","372.3","369.7","363.9","355.8","357.7","357.4","61.1","65.6","64.3","68.5","65.9","61.2","57.1","54.3","59.0","57.2","57.8","54.3","56.0","54.4","51.1","53.1","52.7","49.3","47.1",
05 Avila,"78.3","75.4","75.7","73.3","74.0","74.9","74.2","76.9","78.5","74.6","71.9","71.4","73.5","72.9","69.1","70.8","72.5","68.9","68.2","2.0","0.8","0.7","1.4","0.8","1.4","1.1","0.8","2.0","1.2","1.3","1.4","2.0","2.0","1.8","2.0","1.9","1.6","1.8","7.5","7.7","6.9","5.4","5.6","6.5","6.3","7.1","7.9","7.2","6.5","5.3","5.3","5.4","4.4","5.9","5.5","4.9","6.1","57.1","56.1","57.6","57.2","57.7","58.3","59.3","62.1","62.0","58.7","57.1","57.9","57.9","57.4","55.9","56.0","57.6","56.0","53.3","11.7","10.8","10.4","9.3","9.9","8.6","7.6","6.9","6.5","7.5","6.9","6.8","8.3","8.1","6.9","6.9","7.4","6.5","7.1",
06 Badajoz,"313.7","316.6","315.8","312.9","316.2","310.2","302.0","305.4","303.3","295.5","292.9","290.1","278.8","282.4","284.0","278.5","290.2","280.2","282.2","9.6","9.0","9.6","9.4","12.3","9.5","8.7","7.5","9.9","7.7","8.8","8.8","9.7","10.2","10.5","11.1","12.5","9.6","8.2","29.9","28.5","27.8","28.3","33.6","33.4","30.7","33.3","34.4","31.3","31.5","30.8","32.3","29.6","29.5","31.4","34.8","33.3","34.5","241.5","246.8","246.7","246.8","241.6","236.6","233.1","233.2","229.4","226.7","223.4","224.2","209.8","214.5","216.0","209.8","214.0","210.7","209.5","32.7","32.4","31.7","28.5","28.7","30.6","29.5","31.5","29.6","29.8","29.1","26.4","26.9","28.1","27.9","26.2","28.8","26.6","30.0",
07 Balears (Illes),"607.1","593.9","560.5","564.1","589.5","573.5","543.1","544.0","562.1","555.7","522.6","523.8","555.3","542.6","499.2","494.1","526.3","516.8","480.6","15.7","12.6","9.5","10.1","17.2","14.7","12.1","13.2","20.0","14.6","11.4","12.3","19.2","15.1","14.2","14.5","16.7","18.2","16.2","53.1","50.4","47.6","47.8","52.1","48.3","42.7","46.0","46.4","48.0","46.1","49.6","50.2","49.1","46.0","45.2","49.4","48.0","44.5","467.5","463.1","439.3","442.9","453.4","449.2","429.3","427.0","434.6","434.5","410.4","406.5","426.7","418.2","384.3","381.6","408.0","396.7","369.1","70.8","67.8","64.0","63.3","66.7","61.3","59.0","57.8","61.0","58.6","54.7","55.4","59.2","60.2","54.6","52.7","52.2","53.8","50.7",
08 Barcelona,"2751.1","2742.8","2796.7","2802.0","2789.8","2822.1","2831.7","2826.4","2781.7","2753.0","2746.4","2734.0","2708.8","2700.2","2709.1","2692.7","2617.2","2620.6","2581.2","56.5","55.8","60.2","62.2","65.5","59.3","59.7","59.0","67.3","70.0","52.6","61.0","69.7","58.8","61.8","66.3","67.6","59.2","59.0","205.8","196.8","213.9","226.2","221.3","217.1","213.8","223.4","226.4","221.5","222.4","220.8","220.8","229.8","237.2","229.0","239.5","233.5","236.6","2130.2","2122.8","2155.9","2134.5","2131.7","2177.2","2210.7","2196.0","2144.1","2133.4","2135.4","2112.1","2081.6","2075.6","2083.4","2075.2","2012.7","2026.8","1993.9","358.7","367.4","366.7","379.0","371.3","368.5","347.5","347.9","343.9","328.1","336.1","340.0","336.8","336.0","326.7","322.3","297.4","301.1","291.7",
