Label, Field
A Coruña,A_CORUNA
Álava,ALAVA
Albacete,ALBACETE
Alicante,ALICANTE
Almería,ALMERIA
Asturias,ASTURIAS
Ávila,AVILA
Badajoz,BADAJOZ
Baleares,BALEARES
Barcelona,BARCELONA
Burgos,BURGOS
Cáceres,CACERES
Cádiz,CADIZ
Cantabria,CANTABRIA
Castellón,CASTELLON
Ceuta,CEUTA
Ciudad Real,CIUDAD_REAL
Córdoba,CORDOBA
Cuenca,CUENCA
Girona,GIRONA
Granada,GRANADA
Guadalajara,GUADALAJARA
Guipúzcoa,GUIPUZCOA
Huelva,HUELVA
Huesca,HUESCA
Jaén,JAEN
La Rioja,LA_RIOJA
Las Palmas,LAS_PALMAS
León,LEON
Lleida,LLEIDA
Lugo,LUGO
Madrid,MADRID
Málaga,MALAGA
Melilla,MELILLA
Murcia,MURCIA
Navarra,NAVARRA
Ourense,OURENSE
Palencia,PALENCIA
Pontevedra,PONTEVEDRA
Salamanca,SALAMANCA
Santa Cruz de Tenerife,TENERIFE
Segovia,SEGOVIA
Sevilla,SEVILLA
Soria,SORIA
Tarragona,TARRAGONA
Teruel,TERUEL
Toledo,TOLEDO
Valencia,VALENCIA
Valladolid,VALLADOLID
Vizcaya,VIZCAYA
Zamora,ZAMORA
Zaragoza,ZARAGOZA
