ProvinciaID,Provincia,2009TIII,2009TII,2009TI,2008TIV,2008TIII,2008TII,2008TI,2007TIV,2007TIII,2007TII,2007TI,2006TIV,2006TIII,2006TII,2006TI,2005TIV,2005TIII,2005TII,2005TI
01,Alava,12.27,9.2,9.56,7.53,4.24,4.26,2.99,4.25,4.68,4.36,6.53,5.48,5.97,6.9,8.46,6.42,8.43,5.43,8.11
02,Albacete,19.51,20.19,18.65,17.11,11.53,10.31,10.15,10.24,7.74,9.08,9.33,8.1,11.5,10.74,9.31,10.87,10.83,7.3,10.95
03,Alicante,22.39,21.74,21.78,16.04,13.35,13.63,10.82,11.13,9.38,10.18,10.64,10.37,8.7,8.57,10.87,10.06,8.67,9.43,10.3
04,Almería,30.64,27.47,24.72,24.98,21.74,17.57,13.62,10.45,12.18,10.22,12.99,9.58,10.29,9.69,8.39,9.35,8.72,9.73,8.86
33,Asturias,13.42,14.04,12.01,9.95,7.53,7.84,8.49,8.12,7.19,9.07,9.54,9.18,9.76,8.09,10.23,9.56,9.32,10.82,11.28
05,Avila,19.78,16.63,17.19,14.74,11.42,9.47,8.73,5.58,7.23,6.46,7.67,6.85,5.81,6.24,8.51,8.83,8.86,8.36,9.21
06,Badajoz,19.4,20.72,22.57,19.22,15.01,14.89,13.91,15.29,13.74,13.25,14.17,14.68,11.79,15.21,17.58,16.74,17.13,16.38,19.77
07,Balears (Illes),14.82,18.15,19.76,12.32,9.38,8.39,10.74,9.01,4.45,5.5,9.15,6.17,4.76,6.64,8.47,7.48,5.01,6.03,10.61
08,Barcelona,16.04,16.15,15.83,11.45,8.67,7.25,7.54,6.46,7.15,6.27,6.49,6.8,6.41,6.43,7.01,6.56,6.08,7.1,8.15
09,Burgos,12.02,13.47,10.82,10.46,8.28,9.62,7.81,7.18,6.83,5.83,5.51,5.35,5.92,6.72,8.95,6.35,5.42,6.73,8.48
10,Cáceres,18.52,18.92,20.24,15.64,13.85,12.0,15.22,13.54,9.96,10.28,11.21,10.09,10.67,11.24,12.79,13.04,12.11,13.18,13.6
11,Cádiz,26.3,26.45,26.05,21.96,18.85,18.2,18.41,17.61,13.79,13.42,14.82,13.78,13.12,17.28,17.22,17.3,16.78,17.34,19.2
39,Cantabria,11.2,11.71,12.42,8.9,6.34,7.03,6.38,4.63,5.57,6.34,7.08,6.0,6.38,6.69,7.19,8.1,7.15,9.09,9.75
12,Castellón de la Plana,20.82,19.7,17.92,14.73,11.36,9.5,8.17,7.37,6.28,7.08,6.41,6.39,5.24,6.33,6.36,6.21,5.92,8.77,8.46
13,Ciudad Real,18.81,20.17,19.42,15.92,14.2,12.12,10.68,8.9,8.89,8.95,9.33,10.03,9.55,11.2,12.17,9.98,9.77,11.36,11.27
14,Córdoba,27.88,27.25,23.3,20.16,17.71,15.64,12.38,15.03,13.0,13.67,13.85,15.11,14.3,14.84,13.24,15.9,15.63,13.48,14.07
15,A Coruña,11.3,12.17,11.46,9.45,8.37,8.74,9.15,8.44,6.8,8.25,9.63,8.22,7.0,8.18,9.74,9.19,8.27,11.03,10.96
16,Cuenca,14.44,16.28,15.79,9.82,6.59,8.12,6.65,3.94,6.37,7.34,5.01,6.55,6.2,6.42,8.46,7.55,4.71,7.14,6.55
17,Girona,16.93,17.79,18.99,14.14,10.64,9.8,9.9,9.27,6.79,7.06,9.27,7.31,5.49,5.84,7.96,6.85,6.28,7.74,8.46
18,Granada,27.36,25.99,24.02,23.14,20.62,18.44,15.0,14.04,11.71,11.72,10.62,10.5,11.9,10.31,10.95,12.92,12.42,12.51,13.78
19,Guadalajara,12.87,14.68,12.95,11.2,7.17,8.51,6.97,5.89,3.29,5.38,5.1,6.96,7.5,6.73,6.61,7.04,5.27,8.77,7.17
20,Guipúzcoa,9.2,9.08,8.91,6.68,4.8,4.77,4.83,5.04,4.12,4.63,5.83,5.96,5.1,5.34,5.72,5.33,6.24,5.35,5.7
21,Huelva,22.14,20.47,23.75,20.85,19.43,14.64,15.43,16.71,14.22,10.59,14.01,13.52,14.69,12.37,16.96,16.92,17.07,14.42,15.0
22,Huesca,11.1,9.7,10.28,6.42,4.28,5.48,5.38,4.66,3.1,4.06,3.85,5.17,5.41,4.88,6.52,6.57,6.26,6.92,7.88
23,Jaén,25.92,24.36,17.97,19.75,17.95,16.38,11.97,14.77,14.55,11.73,10.96,12.86,13.36,14.15,14.59,16.88,15.72,17.22,13.82
24,León,14.48,14.7,14.12,10.52,9.31,10.2,8.02,7.78,7.9,7.22,8.32,7.84,8.67,9.61,10.63,10.98,9.75,10.31,12.28
25,Lleida,13.08,8.79,10.75,8.73,6.91,5.17,4.66,3.1,3.06,2.16,3.68,4.33,6.37,7.92,6.55,6.12,6.36,6.16,4.89
27,Lugo,8.2,9.76,8.9,6.6,5.85,6.29,6.11,5.97,4.77,4.88,7.61,4.85,6.31,7.85,7.74,7.32,6.38,6.17,6.85
28,Madrid,14.37,13.61,13.49,10.15,8.39,8.78,7.39,6.38,6.0,6.25,6.56,6.49,6.09,6.98,5.92,5.92,6.17,6.87,8.28
29,Málaga,23.14,27.63,27.18,23.6,18.01,16.38,15.68,12.28,10.46,10.22,10.44,10.34,11.04,10.88,12.48,11.15,9.99,13.0,12.5
30,Murcia,20.97,20.16,19.36,15.53,14.09,11.33,9.51,8.27,8.24,6.57,7.15,7.91,7.89,7.91,7.7,7.42,7.55,8.05,9.04
31,Navarra,10.39,12.23,10.41,8.12,7.09,5.62,6.05,4.27,4.38,5.26,5.14,4.58,4.79,5.55,6.32,5.95,5.2,5.12,6.3
32,Ourense,11.47,8.96,8.21,6.62,5.42,5.93,7.27,5.2,5.58,5.37,6.65,8.32,6.41,9.13,12.18,9.3,10.29,10.86,11.5
34,Palencia,13.34,14.32,16.39,11.13,9.98,9.26,7.18,5.48,6.09,6.76,6.28,5.86,5.58,8.93,8.04,5.3,4.71,9.18,10.72
35,Las Palmas,28.07,27.12,27.6,22.51,18.51,17.12,15.04,12.26,11.23,10.95,10.7,12.05,12.83,11.3,12.24,11.83,11.47,13.51,14.5
36,Pontevedra,15.24,16.05,15.47,12.04,10.42,9.31,8.48,7.54,7.61,8.27,8.92,8.82,8.21,9.22,10.37,9.62,9.38,13.04,12.09
26,La Rioja,13.12,12.74,11.49,9.75,8.32,6.81,6.25,5.63,5.3,4.94,6.75,7.04,5.76,6.09,5.8,6.53,4.49,6.45,7.29
37,Salamanca,14.72,15.84,17.72,16.49,12.11,9.34,8.22,7.68,8.06,10.61,9.37,10.25,9.95,9.44,10.81,11.68,7.09,8.01,9.64
38,Santa Cruz Tenerife,23.68,24.23,24.42,19.65,16.32,14.71,14.31,9.59,10.18,8.46,9.7,10.84,10.8,11.52,11.62,9.39,10.6,11.12,10.93
40,Segovia,10.88,13.16,14.58,10.11,8.28,10.02,10.84,6.11,5.25,5.51,4.82,6.15,7.07,8.2,7.62,5.1,6.61,7.01,8.49
41,Sevilla,24.31,22.64,22.19,19.72,15.92,14.1,14.17,13.22,12.89,13.01,12.96,12.91,13.03,12.23,13.35,13.22,14.38,13.12,14.75
42,Soria,6.91,10.32,12.11,5.4,4.83,6.2,5.01,3.96,5.1,4.82,5.08,5.46,4.49,5.2,5.47,4.09,4.1,6.37,6.07
43,Tarragona,15.95,16.0,18.53,13.73,10.3,9.33,7.44,7.13,5.94,5.96,7.27,6.43,5.74,6.58,6.28,7.32,6.3,7.22,7.43
44,Teruel,9.51,12.3,10.75,7.67,5.3,7.21,5.19,4.37,5.0,3.91,4.75,2.93,3.81,4.07,3.84,5.38,4.18,4.47,4.71
45,Toledo,20.33,21.28,19.48,15.57,11.93,10.75,10.17,7.68,6.54,7.26,7.07,7.35,7.76,7.7,8.83,9.34,7.9,10.06,9.2
46,Valencia,21.9,21.19,17.65,14.03,11.96,10.68,9.14,8.0,8.85,8.09,7.6,7.63,8.71,7.62,8.09,7.03,7.77,9.22,10.39
47,Valladolid,11.32,12.91,11.91,9.65,8.73,8.95,8.29,7.15,6.87,7.45,7.61,7.9,7.58,8.47,8.76,8.07,7.95,9.56,11.43
48,Vizcaya,12.86,11.83,11.47,9.57,7.78,6.45,6.88,6.62,7.68,7.4,7.2,7.46,7.52,8.24,8.52,7.05,7.95,9.55,9.29
49,Zamora,12.08,15.56,13.89,11.0,10.04,7.92,8.42,8.06,7.21,8.16,9.52,8.89,8.49,9.62,8.83,10.62,11.61,9.14,8.59
